Data,Zamkniecie
2020-01-06,0.89319
2020-01-07,0.897
2020-01-08,0.90007
2020-01-09,0.90037
2020-01-10,0.89914
2020-01-13,0.89803
2020-01-14,0.89876
2020-01-15,0.89672
2020-01-16,0.89787
2020-01-17,0.90149
2020-01-20,0.90113
2020-01-21,0.90228
2020-01-22,0.90143
2020-01-23,0.9045
2020-01-24,0.90679
2020-01-27,0.90757
2020-01-28,0.90728
2020-01-29,0.90822
2020-01-30,0.90631
2020-01-31,0.90169
2020-02-03,0.90421
2020-02-04,0.90537
2020-02-05,0.9091
2020-02-06,0.91066
2020-02-07,0.91345
2020-02-10,0.91648
2020-02-11,0.91582
2020-02-12,0.91981
2020-02-13,0.92246
2020-02-14,0.92278
2020-02-17,0.92274
2020-02-18,0.92638
2020-02-19,0.92519
2020-02-20,0.927
2020-02-21,0.92174
2020-02-24,0.9215
2020-02-25,0.91903
2020-02-26,0.9189
2020-02-27,0.90885
2020-02-28,0.90581
2020-03-02,0.89771
2020-03-03,0.89521
2020-03-04,0.89823
2020-03-05,0.89044
2020-03-06,0.88438
2020-03-09,0.87421
2020-03-10,0.88427
2020-03-11,0.88819
2020-03-12,0.89471
2020-03-13,0.9003
2020-03-16,0.89542
2020-03-17,0.90777
2020-03-18,0.91465
2020-03-19,0.93766
2020-03-20,0.93465
2020-03-23,0.93054
2020-03-24,0.92488
2020-03-25,0.91899
2020-03-26,0.90603
2020-03-27,0.89759
2020-03-30,0.90519
2020-03-31,0.90661
2020-04-01,0.91359
2020-04-02,0.92118
2020-04-03,0.925
2020-04-06,0.92641
2020-04-07,0.91819
2020-04-08,0.92111
2020-04-09,0.91501
2020-04-13,0.91674
2020-04-14,0.91064
2020-04-15,0.91669
2020-04-16,0.92069
2020-04-17,0.92012
2020-04-20,0.92006
2020-04-21,0.92101
2020-04-22,0.92396
2020-04-23,0.92769
2020-04-24,0.92511
2020-04-27,0.92324
2020-04-28,0.92404
2020-04-29,0.91956
2020-04-30,0.91312
2020-05-01,0.91077
2020-05-04,0.91729
2020-05-05,0.92233
2020-05-06,0.92624
2020-05-07,0.92322
2020-05-08,0.92283
2020-05-11,0.92526
2020-05-12,0.92191
2020-05-13,0.92437
2020-05-14,0.92532
2020-05-15,0.92442
2020-05-18,0.91614
2020-05-19,0.91563
2020-05-20,0.91086
2020-05-21,0.91343
2020-05-22,0.91716
2020-05-25,0.91789
2020-05-26,0.91099
2020-05-27,0.90851
2020-05-28,0.90261
2020-05-29,0.90074
2020-06-01,0.8983
2020-06-02,0.89523
2020-06-03,0.88999
2020-06-04,0.88212
2020-06-05,0.88575
2020-06-08,0.88564
2020-06-09,0.88197
2020-06-10,0.87905
2020-06-11,0.88548
2020-06-12,0.88848
2020-06-15,0.88296
2020-06-16,0.88793
2020-06-17,0.88942
2020-06-18,0.89247
2020-06-19,0.89393
2020-06-22,0.88784
2020-06-23,0.88426
2020-06-24,0.88849
2020-06-25,0.89156
2020-06-26,0.8906
2020-06-29,0.8896
2020-06-30,0.89029
2020-07-01,0.88885
2020-07-02,0.8897
2020-07-03,0.8893
2020-07-06,0.88412
2020-07-07,0.88699
2020-07-08,0.88239
2020-07-09,0.88619
2020-07-10,0.88494
2020-07-13,0.88135
2020-07-14,0.87701
2020-07-15,0.87622
2020-07-16,0.87867
2020-07-17,0.87433
2020-07-20,0.87383
2020-07-21,0.8671
2020-07-22,0.86411
2020-07-23,0.86238
2020-07-24,0.85895
2020-07-27,0.85103
2020-07-28,0.85316
2020-07-29,0.84798
2020-07-30,0.84442
2020-07-31,0.84873
2020-08-03,0.8503
2020-08-04,0.84766
2020-08-05,0.84274
2020-08-06,0.84198
2020-08-07,0.84841
2020-08-10,0.85183
2020-08-11,0.85168
2020-08-12,0.84859
2020-08-13,0.8464
2020-08-14,0.84479
2020-08-17,0.84215
2020-08-18,0.83807
2020-08-19,0.84438
2020-08-20,0.84311
2020-08-21,0.8478
2020-08-24,0.84814
2020-08-25,0.84501
2020-08-26,0.84527
2020-08-27,0.84601
2020-08-28,0.84044
2020-08-31,0.83757
2020-09-01,0.83917
2020-09-02,0.84351
2020-09-03,0.84381
2020-09-04,0.84443
2020-09-07,0.84635
2020-09-08,0.84934
2020-09-09,0.84722
2020-09-10,0.84592
2020-09-11,0.84454
2020-09-14,0.8427
2020-09-15,0.84398
2020-09-16,0.84638
2020-09-17,0.84426
2020-09-18,0.84397
2020-09-21,0.84962
2020-09-22,0.85419
2020-09-23,0.85754
2020-09-24,0.85676
2020-09-25,0.86013
2020-09-28,0.85729
2020-09-29,0.85173
2020-09-30,0.85295
2020-10-01,0.85134
2020-10-02,0.8538
2020-10-05,0.84876
2020-10-06,0.85231
2020-10-07,0.84993
2020-10-08,0.85038
2020-10-09,0.84576
2020-10-12,0.84643
2020-10-13,0.85142
2020-10-14,0.85117
2020-10-15,0.85394
2020-10-16,0.85341
2020-10-19,0.84978
2020-10-20,0.84574
2020-10-21,0.84311
2020-10-22,0.84595
2020-10-23,0.84299
2020-10-26,0.84695
2020-10-27,0.84888
2020-10-28,0.85117
2020-10-29,0.85691
2020-10-30,0.85862
2020-11-02,0.85908
2020-11-03,0.85264
2020-11-04,0.85315
2020-11-05,0.84579
2020-11-06,0.84177
2020-11-09,0.84623
2020-11-10,0.84611
2020-11-11,0.84906
2020-11-12,0.84696
2020-11-13,0.84504
2020-11-16,0.84345
2020-11-17,0.84294
2020-11-18,0.84376
2020-11-19,0.84239
2020-11-20,0.84324
2020-11-23,0.84463
2020-11-24,0.84089
2020-11-25,0.83926
2020-11-26,0.8396
2020-11-27,0.83607
2020-11-30,0.83817
2020-12-01,0.82835
2020-12-02,0.82557
2020-12-03,0.8234
2020-12-04,0.82462
2020-12-07,0.82574
2020-12-08,0.82603
2020-12-09,0.82777
2020-12-10,0.82361
2020-12-11,0.82537
2020-12-14,0.82334
2020-12-15,0.82295
2020-12-16,0.81982
2020-12-17,0.81515
2020-12-18,0.81665
2020-12-21,0.81709
2020-12-22,0.82208
2020-12-23,0.82032
2020-12-24,0.82097
2020-12-28,0.81905
2020-12-29,0.8161
2020-12-30,0.81318
2020-12-31,0.8186
2021-01-04,0.81629
2021-01-05,0.81322
2021-01-06,0.81116
